sample_name,library
ERCC92,transpictome
SAMD00253483,control
SAMD00253482,control
SAMD00253481,control
SAMD00253480,control
SAMD00253479,control
SAMD00253478,control
SAMD00253477,control
SAMD00253476,control
SAMD00253475,control
SAMD00253474,control
SAMD00253473,control
SAMD00253472,control
SAMD00253471,sample
SAMD00253470,sample
SAMD00253469,sample
SAMD00253468,sample
SAMD00253467,sample
SAMD00253466,sample
SAMD00253465,sample
SAMD00253464,sample
SAMD00253463,sample
SAMD00253462,sample
SAMD00253461,sample